age,gender,marital_status,education,monthly_salary,employment_type,years_of_employment,company_type,house_type,monthly_rent,family_size,dependents,school_fees,college_fees,travel_expenses,groceries_utilities,other_monthly_expenses,existing_loans,current_emi_amount,credit_score,bank_balance,emergency_fund,emi_scenario,requested_amount,requested_tenure,emi_eligibility,max_monthly_emi
32.0,Male,Single,Professional,41100.0,Private,2.5,Startup,Rented,9000.0,2,1,11100.0,0.0,5100.0,10200.0,7200.0,No,0.0,716.0,159700.0,95600.0,E-commerce Shopping EMI,104000.0,15,Not_Eligible,500.0
48.0,Female,Married,Graduate,37900.0,Private,5.4,Large Indian,Rented,13000.0,4,3,0.0,0.0,3200.0,5900.0,5200.0,No,0.0,730.0,59700.0,24600.0,Personal Loan EMI,518000.0,57,Not_Eligible,4240.0
38.0,Female,Married,Graduate,39900.0,Private,0.5,MNC,Family,0.0,5,4,0.0,0.0,4000.0,10000.0,7000.0,Yes,11000.0,626.0,205300.0,61900.0,Vehicle EMI,900000.0,15,Not_Eligible,1769.6
27.0,Male,Single,Post Graduate,26000.0,Government,2.2,Mid-size,Family,0.0,1,0,0.0,0.0,3100.0,6800.0,4300.0,No,0.0,849.0,21300.0,11400.0,E-commerce Shopping EMI,198000.0,7,Not_Eligible,5664.0
27.0,Female,Single,Post Graduate,71600.0,Government,0.6,Mid-size,Family,0.0,2,1,7700.0,8100.0,9800.0,16900.0,6200.0,Yes,9500.0,706.0,54700.0,31600.0,Home Appliances EMI,226000.0,27,Not_Eligible,3752.0
38.0,Male,Married,Post Graduate,112800.0,Private,0.9,Startup,Rented,17500.0,4,3,0.0,16400.0,16100.0,31200.0,8000.0,Yes,33300.0,738.0,402700.0,240000.0,E-commerce Shopping EMI,27000.0,24,Not_Eligible,500.0
58.0,Male,Married,Graduate,33400.0,Private,2.7,Large Indian,Family,0.0,3,2,8100.0,0.0,2100.0,7400.0,4700.0,Yes,6100.0,719.0,206900.0,85000.0,Education EMI,342000.0,31,Not_Eligible,1925.0
48.0,Female,Single,Professional,53200.0,Government,3.7,MNC,Own,0.0,1,0,0.0,0.0,4600.0,13100.0,6900.0,No,0.0,673.0,387300.0,165100.0,Home Appliances EMI,252000.0,36,Eligible,17303.0
58.0,Male,Married,Graduate,44100.0,Government,14.6,Large Indian,Own,0.0,3,2,11200.0,7600.0,4000.0,10000.0,2700.0,Yes,11300.0,680.0,211200.0,60400.0,Education EMI,214000.0,22,Not_Eligible,500.0
27.0,Male,Single,Graduate,33900.0,Private,1.0,Large Indian,Family,0.0,1,0,0.0,0.0,2900.0,8400.0,1900.0,Yes,7600.0,,242800.0,83600.0,Home Appliances EMI,133000.0,30,Not_Eligible,5043.5
32.0,Male,Married,Graduate,95900.0,Government,2.2,Startup,Family,0.0,2,1,14300.0,0.0,14100.0,26000.0,15500.0,No,0.0,763.0,288600.0,170500.0,Vehicle EMI,1.394e+06,32,Not_Eligible,15600.0
27.0,Male,Single,Graduate,82700.0,Private,0.8,Small,Family,0.0,1,0,0.0,0.0,12200.0,12700.0,13300.0,No,0.0,689.0,331200.0,88700.0,Home Appliances EMI,110000.0,34,Eligible,17800.0
48.0,Male,Married,Professional,99100.0,Private,2.5,Mid-size,Rented,20900.0,2,1,3200.0,0.0,7500.0,18200.0,17100.0,No,0.0,720.0,350300.0,137900.0,Education EMI,383000.0,48,Eligible,16100.0
38.0,Male,Married,Graduate,32100.0,Private,10.0,MNC,Rented,7700.0,4,3,0.0,7400.0,2200.0,6900.0,4700.0,No,0.0,735.0,128200.0,68800.0,Personal Loan EMI,393000.0,22,Not_Eligible,1600.0
27.0,Female,Married,Post Graduate,107500.0,Private,1.1,Large Indian,Family,0.0,3,2,0.0,24900.0,13400.0,23800.0,8700.0,Yes,26000.0,666.0,137900.0,38200.0,Home Appliances EMI,134000.0,13,Not_Eligible,2996.0
58.0,Female,Married,Professional,91500.0,Government,13.0,Large Indian,Rented,19000.0,2,1,3700.0,24300.0,10100.0,19400.0,9800.0,Yes,14400.0,684.0,368500.0,217800.0,Personal Loan EMI,101000.0,35,Not_Eligible,500.0
58.0,Male,Married,Graduate,29800.0,Private,7.7,MNC,Own,0.0,4,3,5500.0,10500.0,3200.0,8700.0,2900.0,No,0.0,713.0,216700.0,110800.0,Vehicle EMI,870000.0,72,Not_Eligible,500.0
32.0,Male,Married,Graduate,41200.0,Private,2.5,Mid-size,Own,0.0,2,1,11000.0,0.0,5900.0,7500.0,4000.0,No,0.0,632.0,262500.0,149200.0,Home Appliances EMI,174000.0,31,Not_Eligible,5632.0
48.0,Male,Married,Post Graduate,68100.0,Private,7.7,Large Indian,Own,0.0,3,2,5500.0,0.0,6300.0,15400.0,6400.0,Yes,13300.0,620.0,327000.0,169800.0,Personal Loan EMI,459000.0,54,Not_Eligible,5936.0
27.0,Male,Single,Graduate,50800.0,Government,1.2,Startup,Own,0.0,3,2,11000.0,6900.0,3100.0,13000.0,3100.0,No,0.0,796.0,319500.0,155200.0,Home Appliances EMI,109000.0,14,High_Risk,9042.0
32.0,Male,Married,Professional,66500.0,Government,5.1,Large Indian,Rented,15600.0,5,4,0.0,0.0,4000.0,12700.0,4400.0,Yes,16300.0,737.0,450100.0,133000.0,Home Appliances EMI,245000.0,6,Not_Eligible,5717.25
58.0,Male,Single,Post Graduate,46700.0,Private,5.7,Large Indian,Own,0.0,1,0,0.0,0.0,4200.0,7600.0,3000.0,No,0.0,726.0,245300.0,141000.0,Education EMI,127000.0,37,Eligible,15950.0
48.0,Male,Married,Graduate,33300.0,Government,1.1,Startup,Own,0.0,3,2,0.0,8900.0,2100.0,8700.0,6100.0,Yes,8700.0,722.0,102900.0,33400.0,Personal Loan EMI,775000.0,58,Not_Eligible,500.0
32.0,Female,Married,Graduate,22700.0,Government,1.2,Mid-size,Family,0.0,4,3,0.0,19300.0,2000.0,5100.0,3500.0,No,0.0,701.0,110400.0,28600.0,Vehicle EMI,1.209e+06,18,Not_Eligible,500.0
32.0,Male,Married,Post Graduate,39300.0,Private,0.5,Mid-size,Own,0.0,4,3,8400.0,7500.0,5800.0,9600.0,4800.0,No,0.0,685.0,170300.0,72200.0,Vehicle EMI,705000.0,75,Not_Eligible,1280.0
27.0,Male,Single,Post Graduate,86500.0,Private,0.5,Small,Family,0.0,2,1,3800.0,0.0,6700.0,22500.0,13700.0,No,0.0,715.0,279900.0,143100.0,Vehicle EMI,1.35e+06,24,Not_Eligible,15920.0
48.0,Male,Married,Professional,22500.0,Government,2.1,Large Indian,Rented,4800.0,2,1,2400.0,0.0,1700.0,4000.0,3800.0,Yes,3000.0,679.0,130800.0,39700.0,E-commerce Shopping EMI,155000.0,10,Not_Eligible,980.0
38.0,Male,Married,Post Graduate,45200.0,Government,5.9,MNC,Family,0.0,5,4,0.0,0.0,4200.0,12600.0,4800.0,No,0.0,702.0,347100.0,185000.0,Personal Loan EMI,516000.0,25,Not_Eligible,14278.0
38.0,Male,Married,Graduate,35400.0,Private,2.3,Mid-size,Rented,10800.0,3,2,5000.0,14100.0,4800.0,9600.0,5200.0,Yes,10600.0,642.0,247000.0,106100.0,Home Appliances EMI,292000.0,19,Not_Eligible,500.0
48.0,Male,Married,Post Graduate,71800.0,Self-employed,3.5,Large Indian,Rented,20400.0,2,1,0.0,0.0,7400.0,17100.0,5200.0,Yes,8100.0,713.0,358600.0,151800.0,Home Appliances EMI,47000.0,35,Eligible,4284.0
48.0,Male,Married,Post Graduate,125400.0,Private,3.0,Startup,Rented,24700.0,3,2,10100.0,0.0,9200.0,29800.0,21100.0,No,0.0,738.0,996300.0,340300.0,Personal Loan EMI,588000.0,24,Not_Eligible,16775.0
38.0,Female,Single,High School,29600.0,Government,5.8,Startup,Own,0.0,3,2,5400.0,0.0,3300.0,5300.0,1800.0,No,0.0,639.0,44200.0,13600.0,Education EMI,347000.0,32,Not_Eligible,4857.6
32.0,Female,Single,High School,61200.0,Private,2.0,MNC,Rented,18500.0,2,1,3400.0,20300.0,3700.0,10400.0,11600.0,Yes,12400.0,717.0,227400.0,134800.0,Education EMI,401000.0,7,Not_Eligible,500.0
27.0,Female,Single,High School,27500.0,Government,0.5,Startup,Family,0.0,3,2,6900.0,0.0,2500.0,7400.0,5100.0,Yes,5600.0,745.0,55900.0,13900.0,Personal Loan EMI,445000.0,14,Not_Eligible,500.0
38.0,Male,Married,Graduate,57700.0,Government,1.6,MNC,Family,0.0,2,1,8400.0,19000.0,8500.0,9900.0,6600.0,No,0.0,711.0,196800.0,49800.0,Education EMI,265000.0,9,Not_Eligible,2650.0
