column,missing_count,missing_percentage,dtype
age,0,0.0,float64
gender,0,0.0,object
marital_status,0,0.0,object
education,2404,0.5938735177865613,object
monthly_salary,0,0.0,float64
employment_type,0,0.0,object
years_of_employment,0,0.0,float64
company_type,0,0.0,object
house_type,0,0.0,object
monthly_rent,2426,0.5993083003952568,float64
family_size,0,0.0,int64
dependents,0,0.0,int64
school_fees,0,0.0,float64
college_fees,0,0.0,float64
travel_expenses,0,0.0,float64
groceries_utilities,0,0.0,float64
other_monthly_expenses,0,0.0,float64
existing_loans,0,0.0,object
current_emi_amount,0,0.0,float64
credit_score,2420,0.5978260869565217,float64
bank_balance,2440,0.6027667984189723,float64
emergency_fund,2351,0.5807806324110671,float64
emi_scenario,0,0.0,object
requested_amount,0,0.0,float64
requested_tenure,0,0.0,int64
emi_eligibility,0,0.0,object
max_monthly_emi,0,0.0,float64
